Date,Time,Open,High,Low,Close,Volume,Down,Up
01/04/2011,1615,  16.06,  16.06,  16.06,  16.06,   0.00,   0.00,   0.00
01/05/2011,1615,  15.57,  15.57,  15.57,  15.57,   0.00,   0.00,   0.00
01/06/2011,1615,  15.71,  15.71,  15.71,  15.71,   0.00,   0.00,   0.00
01/07/2011,1615,  15.01,  15.01,  15.01,  15.01,   0.00,   0.00,   0.00
01/10/2011,1615,  15.81,  15.81,  15.81,  15.81,   0.00,   0.00,   0.00
01/11/2011,1615,  14.93,  14.93,  14.93,  14.93,   0.00,   0.00,   0.00
01/12/2011,1615,  14.82,  14.82,  14.82,  14.82,   0.00,   0.00,   0.00
01/13/2011,1615,  14.92,  14.92,  14.92,  14.92,   0.00,   0.00,   0.00
01/14/2011,1615,  14.30,  14.30,  14.30,  14.30,   0.00,   0.00,   0.00
01/18/2011,1615,  16.34,  16.34,  16.34,  16.34,   0.00,   0.00,   0.00
01/19/2011,1615,  17.74,  17.74,  17.74,  17.74,   0.00,   0.00,   0.00
01/20/2011,1615,  16.98,  16.98,  16.98,  16.98,   0.00,   0.00,   0.00
01/21/2011,1615,  17.32,  17.32,  17.32,  17.32,   0.00,   0.00,   0.00
01/24/2011,1615,  17.38,  17.38,  17.38,  17.38,   0.00,   0.00,   0.00
01/25/2011,1615,  17.75,  17.75,  17.75,  17.75,   0.00,   0.00,   0.00
01/26/2011,1615,  16.27,  16.27,  16.27,  16.27,   0.00,   0.00,   0.00
01/27/2011,1615,  15.07,  15.07,  15.07,  15.07,   0.00,   0.00,   0.00
01/28/2011,1615,  21.25,  21.25,  21.25,  21.25,   0.00,   0.00,   0.00
01/31/2011,1615,  20.50,  20.50,  20.50,  20.50,   0.00,   0.00,   0.00
02/01/2011,1615,  17.21,  17.21,  17.21,  17.21,   0.00,   0.00,   0.00
02/02/2011,1615,  16.83,  16.83,  16.83,  16.83,   0.00,   0.00,   0.00
02/03/2011,1615,  15.38,  15.38,  15.38,  15.38,   0.00,   0.00,   0.00
02/04/2011,1615,  14.19,  14.19,  14.19,  14.19,   0.00,   0.00,   0.00
